weibo_id,user_name,publish_time,cleaned_text
5247724267766802,南方周末,Thu Dec 25 12:53:46 +0800 2025,贾国龙回应西贝冷冻西兰花争议【沉默100天后，贾国龙首次回应西贝预制菜风波 】 南方周末：面对预制菜质疑，你的第一反应为什么是开放厨房参观？ 贾国龙：当时没有想太多，我认为我们的厨房经得住看，不怕大家来看，因为我们在这方面投入很大，还为此专门请来专家帮助我们制定标准和流程。而且我们很早就推行明厨亮灶。 南方周末：大家看到冷冻西兰花，包装上标明保质期两年。 贾国龙：西贝用的西兰花是极速锁鲜的有机无农残的西兰花，采购价格8块多钱1斤，远高于普通新鲜西兰花价格。西兰花保质期是24个月，不是说这个西兰花要放两年再用。我们之前规定生产日期后的两个月内要用掉，现在规定一个月内必须用掉。而且，这个预加工的西兰花品质很好，可以达到出口欧盟的国际标准。
5247727168652790,南方周末,Thu Dec 25 13:05:18 +0800 2025,贾国龙说如果能重来坚决不硬刚【沉默100天后，贾国龙首次回应西贝预制菜风波 】南方周末：现在你发现自己犯了哪些错误？ 贾国龙：第一个错误是选择正面硬刚，说我宁愿不做生意，也要辨明是非，一定要起诉罗永浩；第二个错误是开放厨房；第三个错误是我在一个微信群聊里发言，回应同行关心，用了“网络黑社会”的说法。归根结底，都是因为冲动。还有一个更大的错误，是我长期忽视了顾客的声音。 南方周末：如果能重来，你会怎么做？ 贾国龙：坚决不硬刚，耐心听每一个顾客的意见。吵架得两个人吵，你不吵，也吵不起来。以后我也不再做个人IP，退回来认真干活。在管理企业方面，我还是有心得、有兴趣。好好把菜做好、服务好顾客，这才是我擅长的。
5247731653149636,极目新闻,Thu Dec 25 13:23:07 +0800 2025,【西贝预制菜风波100天后贾国龙现状】预制菜风波后贾国龙靠吃安眠药入睡2025年12月21日，冬至当天，南方周末记者在西贝北京研发中心见到了贾国龙。距离他上一次公开发声，整整过去了100天。 贾国龙称骄傲让他对很多事产生误判 这位西贝创始人说，自己连续40天靠吃安眠药入睡，每天有“处理不完的事”，憋了一肚子的心里话。 9月10日，罗永浩一条质疑西贝使用预制菜的微博登上热搜。9月11日，贾国龙回应称“西贝没有一道预制菜”，并于次日向社会开放西贝门店后厨参观。 9月12日，贾国龙接受媒体采访，承认事件对西贝造成重大冲击，日营业额损失超百万元。此后，面对“1岁宝宝2岁西兰花”“温情公关”等更多争议，贾国龙选择了沉默。 9月15日，西贝官方平台发布致歉信，宣布“尽可能把中央厨房前置加工工艺调整到门店现场加工”“在保证食品安全和库存周转的前提下，尽量缩短保质期”。 1988年从大学退学，带着5500元创业，贾国龙一路从内蒙古巴彦淖尔市临河县，将西贝开到北京，再到如今全国三百多家门店，2023年营收62亿元。 近四十年的创业过程里，贾国龙从未遇上如此汹涌的舆情。采访过程中，他很在意自己的动作和神态会不会被恶意模仿，更在意网络人身攻击。 他说，“贾国龙所有问题都可以归结到两个字——骄傲”。骄傲让他对很多事情产生误判，从投入5亿元、折腾8年执意做快餐，到选择和罗永浩正面“硬刚”。但也一如既往，贾国龙不耻于举手投降：“我认错，我向顾客认错，我向员工认错，也向我自己认错。”（南方周末）
5247735268906544,金融八卦女,Thu Dec 25 13:37:29 +0800 2025,贾国龙回应西贝预制菜风波：58岁的贾国龙第一次知道了什么叫“老登”。“我认错，我向顾客认错，我向员工认错，也向我自己认错。” 西贝预制菜风波100天后贾国龙现状
5247737916031167,观察者网,Thu Dec 25 13:48:00 +0800 2025,贾国龙回应保质期两年的冷冻西蓝花 【贾国龙首次回应西贝预制菜风波 】据南方周末12月25日报道，西贝贾国龙在沉默100天后首次回应西贝预制菜风波，采访中58岁的贾国龙第一次知道了什么叫“老登”。 采访中贾国龙总结了自身三个错误，贾国龙称：“第一个错误是选择正面硬刚，说我宁愿不做生意，也要辨明是非，一定要起诉罗永浩；第二个错误是开放厨房；第三个错误是我在一个微信群聊里发言，回应同行关心，用了“网络黑社会”的说法。归根结底，都是因为冲动。还有一个更大的错误，是我长期忽视了顾客的声音。” 对于包装上标明保质期两年的冷冻西蓝花，贾国龙表示“西贝用的西兰花是极速锁鲜的有机无农残的西兰花，采购价格8块多钱1斤，远高于普通新鲜西兰花价格。西兰花保质期是24个月，不是说这个西兰花要放两年再用。我们之前规定生产日期后的两个月内要用掉，现在规定一个月内必须用掉。而且，这个预加工的西兰花品质很好，可以达到出口欧盟的国际标准。” 对于记者反问贾国龙之前称西贝没有全部预制的菜品。贾国龙表示“除了馒头等主食以外，西贝确实没有完全炒好的、煮熟的菜品直接送到门店，只是许多菜品需要清洗、切配等前期预加工，最后环节都是在门店完成。比如说馒头花卷这些在中央厨房是做熟了的，因为它必须经过长时间面团发酵，门店很难做统一的品控，出品会很不稳定，所以就只在门店做最后的加热。” 贾国龙称，“按国家之前公布的定义，中央厨房预加工食品、主食、原材料预加工都不算预制菜，那么西贝门店里的都不算预制菜，但是，我确实不该用这一定义去对抗公众认知。 ” “我现在觉得，预制菜的定义和标准很难下，公众理解的预制菜概念也各不相同。这里还需要区分“冷冻菜”和“冷冻原料”，比如西兰花是冷冻的原料，但我在门店现煮，这就不是冷冻菜。我们现在顺应消费者的期待和要求，认真调改中央厨房，让门店多承担处理环节，回归烟火气。但西贝不可能完全脱离中央厨房，如果全部环节都由门店现做，那么管理难度会急剧扩大，食品安全的风险会大幅增加，食品安全是底线。” 对于西贝的价格问题，贾国龙表示，“西贝一直以来都有自己的生态位，成本和品质注定了西贝不会变成一个低价品牌，但也不是个高价品牌，我们希望顾客们在西贝吃得安心，且物有所值。 西贝30年前刚创业的时候就定位“小贵”，当年在临河是生意最好的餐厅之一，我们的原料和工艺都比同价位餐厅更好一些。”
5247742303539214,倪叔think,Thu Dec 25 14:05:26 +0800 2025,"沉默100天后，贾国龙决定接受南方周末专访，郑重表示，如果时间可以重来，“坚决不硬刚，耐心听每一个顾客的意见。以后我也不再做个人IP，退回来认真干活。”预制菜风波对西贝的影响是巨大的，也彻底点醒了贾国龙，从最初“硬刚罗永浩,宁愿不做生意也要辨明是非”到后来的闭嘴做事，这个转变很关键。他自己承认选择正面硬刚是第一个错误，开放厨房是第二个错误，在微信群说&quot;网络黑社会&quot;是第三个错误。 他表示，“未来不能再独断专行”、“我长期忽视了顾客的声音”。 能这么系统性地复盘自己的失误,说明反思深度到位了。 反思之后，则是改变，是实质性的成本投入。 产品端：西贝客单价从95元降到75元,降幅超过21%； 人力端：薪资上调,人力成本占比从30%主动提升到35% 管理端：接受政府监管部门80多次检查,零违法违规处罚 监督端：后厨透明化直播,把所有环节暴露在阳光下 体验端：每店增配10名欢乐使者,月薪过万,打造家庭欢乐餐厅这些动作的财务压力不小。降价+涨薪的组合,短期必然挤压利润。 产品端到体验端，每一个环节的调整都意味着成本上升，但长期看这并非坏事，如果能重建消费者信任，复购率和口碑提升会对冲成本增加。 贾国龙说： “老板少挣点，员工多挣点，顾客满意常来，商业模式就能跑通。” “扩张放慢，把欲望收缩一下，把这300多家店稳健的经营好。” 西贝的这一轮调整中，贾国龙的个人形象被完全重塑，57岁的他第一次知道了什么是“老登”，一个没有网感的老派企业家形象立住了。 贾国龙不是精明的商人，如他一般的老派企业家其实不大少数，他们长于做事但短于舆论。在商业的世界里他们叱咤风云，舆论场却几乎寸步难行。在互联网的世界里他们注定是要吃亏的，但这不妨碍他们是真诚但笨拙的实干家。从危机公关的角度看,这次专访比之前所有的声明和辩解都有效。 贾国龙反思贾国龙向顾客和员工认错"
5247745187120648,小明同学,Thu Dec 25 14:16:54 +0800 2025,时隔100天西贝贾国龙接受媒体采访 采访中提到了和罗永浩的这次隔空对战。贾国龙表示：如果能重来坚决不硬刚，耐心听每一个顾客的意见。吵架得两个人吵，你不吵，也吵不起来。以后我也不再做个人IP，退回来认真干活。在管理企业方面，我还是有心得、有兴趣。好好把菜做好、服务好顾客，这才是我擅长的。 另外他也坦然的公开认错，向顾客、向员工、也向自己，唯独没有向老罗。[皱眉] 巧的是最近飞象网项立刚也和老罗产生了摩擦，项立刚提到“网络输赢不取决谁有理，而是谁更会煽动网民情绪”。 这两起事情看似关联不大，但他们似乎都在说罗永浩是一个会煽动情绪的人，他的特长是演讲和打造人设，互联网让老罗如鱼得水。大家觉得呢？科技先锋官贾国龙后悔了
5247748925818778,环闻财经-肖力军,Thu Dec 25 14:31:45 +0800 2025,西贝预制菜风波100天后贾国龙现状预制菜风波百日 贾国龙带西贝硬闯信任重建路！ 西贝预制菜风波过去100天，曾经硬刚网友的贾国龙如今彻底换了模样。这位创始人在最新采访中连说三个“认错”，向顾客、员工和自己道歉，坦言当初不该和消费者硬刚，更不该忽视大家的声音，连续40天靠安眠药入睡的经历，让他读懂了“做饭的要围着吃饭的转”。 风波后西贝的改变藏在细节里：全国门店装上6个全覆盖摄像头，后厨直播无死角，顾客能实时看到羊肉串现串、鸡汤现熬的全过程；30多道菜品降价近20%，客单价从92元降到75元，贾国龙明确“降价是长期的，绝不反弹”；10余道核心菜品回归门店现制，连儿童餐的牛肉酱都改成当场炒制，同时给一线员工平均涨薪500元，稳住服务根基。 80多次政府检查零处罚，证明西贝食安底线没破，但贾国龙清醒认知到：比起法律定义，顾客的感受才是硬道理。他不再纠结“央厨预加工算不算预制菜”，而是收缩扩张计划，专注把300多家门店做稳，还计划升级“家庭欢乐餐厅”模式。 这场风波更像行业公开课：餐饮工业化和消费者对“烟火气”的期待本不矛盾，矛盾的是信息不透明。贾国龙的转身告诉我们，品牌犯错不可怕，可怕的是回避问题。如今西贝周末排号量回升到230多桌，这份回暖证明，真诚认错、踏实整改，才是赢回信任的唯一捷径。全网热点共创计划秒懂热点就用智搜
5247749347871995,科技事儿,Thu Dec 25 14:33:26 +0800 2025,西贝预制菜风波过去100多天，贾国龙最新发声：不应选择和顾客硬刚，未来要耐心听他们的意见，明确菜品降价是长期的，不会再涨价。 “我认错，向顾客认错，向员工认错，也向我自己认错”。贾国龙坦言，自己不应该和顾客硬刚，人都是吃一堑长一智，未来不能再独断专行，并表示自己“长期忽视了顾客的声音”“未来要耐心听每位顾客的意见”。 开始打感情牌了，不会是华与华出的主意吧。对比之下，我还是更喜欢他那副桀骜不驯、死不认错的样子[doge]
5247751055212948,电商行业,Thu Dec 25 14:40:13 +0800 2025,西贝预制菜风波后，贾国龙后悔了，不该硬刚罗永浩、也不该开放厨房。 西贝预制菜风波100天后贾国龙现状
